CSBS MASTER TIMETABLE,,,,,,
,,,,,,
Day,Time,Section,Subject,Type,Teacher,Room
Friday,11:50-12:40,CSBS_S3_B,Object Oriented Programming,THEORY,Associate Professor 4,CR_6
Friday,11:50-12:40,CSBS_S7_A,Business Intelligence,THEORY,Assistant Professor 9,CR_7
Friday,12:40-13:30,CSBS_S3_A,Object Oriented Programming,THEORY,Associate Professor 4,CR_3
Friday,12:40-13:30,CSBS_S5_A,Business Analytics,THEORY,Associate Professor 2,CR_4
Friday,12:40-13:30,CSBS_S7_A,Project Management,THEORY,Assistant Professor 5,CR_5
Friday,14:30-15:30,CSBS_S3_A,Data Structures,THEORY,Assistant Professor 1,CR_3
Friday,14:30-15:30,CSBS_S7_A,Business Intelligence,THEORY,Assistant Professor 9,CR_4
Friday,15:30-16:30,CSBS_S1_B,Communication Skills,THEORY,Assistant Professor 3,CR_4
Friday,15:30-16:30,CSBS_S3_A,Object Oriented Programming,THEORY,Associate Professor 4,CR_5
Friday,15:30-16:30,CSBS_S5_A,Machine Learning,THEORY,Assistant Professor 9,CR_6
Friday,15:30-16:30,CSBS_S7_A,Deep Learning,THEORY,Professor 4,CR_7
Friday,16:30-17:30,CSBS_S3_A,Operating Systems,THEORY,Assistant Professor 2,CR_4
Friday,16:30-17:30,CSBS_S5_A,Information Security,THEORY,Associate Professor 5,CR_5
Friday,16:30-17:30,CSBS_S7_A,Business Intelligence,THEORY,Assistant Professor 9,CR_6
Saturday,08:30-09:30,CSBS_S3_B,Operating Systems,THEORY,Assistant Professor 2,CR_3
Saturday,08:30-09:30,CSBS_S7_A,Distributed Systems,THEORY,Assistant Professor 5,CR_4
Saturday,09:30-10:30,CSBS_S3_B,Object Oriented Programming,THEORY,Associate Professor 4,CR_2
Saturday,09:30-10:30,CSBS_S5_A,Business Intelligence,OE,Assistant Professor 9,CR_4
Saturday,11:00-11:50,CSBS_S1_B,Communication Skills,THEORY,Assistant Professor 3,CR_4
Saturday,11:00-11:50,CSBS_S3_A,Data Structures Lab,LAB,Professor 1,LAB_1
Saturday,11:00-11:50,CSBS_S5_A,Cloud Computing,THEORY,Assistant Professor 4,CR_5
Saturday,11:00-11:50,CSBS_S7_A,Deep Learning,THEORY,Professor 4,CR_6
Saturday,11:50-12:40,CSBS_S5_A,Information Security,THEORY,Associate Professor 5,CR_6
Saturday,14:30-15:30,CSBS_S3_A,Data Structures,THEORY,Assistant Professor 1,CR_2
Saturday,14:30-15:30,"ISE_S5_A,CSBS_S5_A",Physical Education,PE,Associate Professor 6,CR_3
Saturday,15:30-16:30,CSBS_S1_A,Engineering Mathematics,THEORY,Assistant Professor 3,CR_5
Saturday,15:30-16:30,CSBS_S3_A,Computer Networks,THEORY,Professor 1,CR_6
Saturday,16:30-17:30,CSBS_S3_A,Computer Networks,THEORY,Professor 1,CR_4
